Transaction_ID,Customer_ID,Customer_Age,Customer_Gender,Account_Balance,Account_Age_Months,Transaction_Amount,Average_Transaction_Amount,Transaction_Date,Transaction_Time,Time_Period,Location,Payment_Method,Device_Type,Merchant_Category,Transaction_Status,Daily_Transaction_Count,Weekly_Transaction_Count,Distance_From_Home_KM,Login_Attempts,Failed_Transactions_Last_24H,New_Device,International_Transaction,Card_Present,IP_Risk_Score,Risk_Level
TXN000001,CUST8953,62,Male,167873.56,113,58157.1,3982.6,03-02-2024,17:59,Evening,Hyderabad,Credit Card,Mobile,Electronics,Success,12,25,241,3,0,Yes,Yes,No,60,Medium
TXN000002,CUST5985,31,Male,327877.51,160,78649.17,34167.28,04-05-2024,20:50,Evening,Delhi,Net Banking,POS,Fuel,Success,13,96,214,4,1,No,Yes,No,55,Medium
TXN000003,CUST5293,54,Male,492883.04,111,751.21,9451.68,08-08-2025,06:34,Morning,Mumbai,Credit Card,POS,Entertainment,Success,19,61,85,1,0,No,No,Yes,45,Low
TXN000004,CUST1524,54,Female,269423.77,180,49895.33,43847.5,11-11-2025,09:55,Morning,Mumbai,Wallet,POS,Travel,Success,7,95,280,2,4,Yes,Yes,Yes,89,High
TXN000005,CUST8586,21,Male,142941.9,84,44702.98,4986.14,13-10-2023,02:09,Morning,Bangalore,Debit Card,POS,Fuel,Success,17,41,125,3,3,Yes,Yes,No,44,Medium
TXN000006,CUST4907,68,Female,238271.73,51,9652.93,27840.69,27-12-2023,00:00,Morning,Coimbatore,Debit Card,ATM,Shopping,Failed,10,45,186,6,4,Yes,No,No,51,Medium
TXN000007,CUST2973,27,Female,65104.83,7,89426.6,22645.48,31-03-2025,20:03,Evening,Hyderabad,Debit Card,Web,Travel,Success,18,41,153,6,4,Yes,Yes,Yes,29,High
TXN000008,CUST1812,55,Female,371266.24,113,67622.73,22206.63,07-06-2024,07:56,Morning,Chennai,Debit Card,Web,Shopping,Success,15,80,29,4,3,Yes,No,Yes,27,Medium
TXN000009,CUST2985,62,Male,488458.43,116,1422.89,17278.63,14-07-2025,21:17,Night,Mumbai,Credit Card,POS,Grocery,Success,1,31,182,5,3,Yes,Yes,No,19,Medium
TXN000010,CUST8352,26,Male,492889.97,133,21756,47122.98,24-12-2025,03:14,Morning,Coimbatore,Credit Card,Mobile,Shopping,Success,17,17,295,6,5,Yes,Yes,Yes,25,Medium
TXN000011,CUST3194,62,Male,62632.06,176,66011.02,26772.5,21-09-2023,03:07,Morning,Mumbai,Debit Card,ATM,Fuel,Success,13,84,285,1,4,No,Yes,No,58,Medium
TXN000012,CUST4283,44,Male,301152.72,127,37963.4,22232.03,12-11-2024,22:02,Night,Hyderabad,Debit Card,Mobile,Fuel,Success,2,29,159,2,3,No,Yes,Yes,40,Medium
TXN000013,CUST1909,47,Other,154400.85,46,52615.86,33232.62,10-03-2023,12:08,Afternoon,Pune,Net Banking,Mobile,Grocery,Success,2,30,1,3,5,No,No,No,76,Medium
TXN000014,CUST7044,70,Other,111177.85,153,38050.75,14584.9,28-09-2025,12:53,Afternoon,Kolkata,Credit Card,Web,Electronics,Success,8,54,269,1,1,No,No,No,94,Medium
TXN000015,CUST7109,57,Female,72531.71,123,4770.77,12508.46,22-12-2025,03:45,Morning,Bangalore,Net Banking,Mobile,Grocery,Success,16,13,277,6,5,No,No,No,2,Low
TXN000016,CUST7857,66,Male,456246.47,14,6218.15,19054.17,18-07-2025,08:52,Morning,Jaipur,UPI,Mobile,Travel,Success,6,68,64,3,1,Yes,Yes,No,49,Low
TXN000017,CUST1837,53,Male,414103.83,31,56284.05,30499.04,11-08-2024,16:36,Afternoon,Ahmedabad,Net Banking,ATM,Travel,Success,6,64,217,5,1,Yes,Yes,Yes,87,High
TXN000018,CUST6277,20,Male,137139.33,163,48148.31,8386.16,02-05-2023,05:22,Morning,Kolkata,Credit Card,Web,Entertainment,Success,19,43,179,1,2,Yes,Yes,Yes,73,Medium
TXN000019,CUST3385,63,Male,191940.04,136,93985.55,22070.87,26-02-2025,10:14,Morning,Bangalore,Debit Card,Web,Electronics,Success,19,27,64,5,2,No,No,Yes,39,Medium
TXN000020,CUST9214,56,Other,205872.24,158,10551.82,18029.92,29-04-2025,21:51,Night,Mumbai,Credit Card,Web,Healthcare,Success,6,7,197,4,0,Yes,No,Yes,100,Medium
TXN000021,CUST6942,29,Male,250498.4,163,36560.57,33586.86,29-10-2025,06:50,Morning,Delhi,Net Banking,ATM,Food,Success,15,46,19,6,4,Yes,No,Yes,90,High
TXN000022,CUST2342,68,Female,191942.67,58,69607.86,14091.9,13-12-2024,15:02,Afternoon,Hyderabad,Credit Card,Web,Travel,Success,10,35,297,1,2,Yes,No,Yes,47,Medium
TXN000023,CUST7112,54,Female,374712.96,107,10350.47,33745.09,23-10-2023,11:44,Morning,Coimbatore,Credit Card,POS,Shopping,Success,12,26,120,5,1,No,No,No,4,Low
TXN000024,CUST1296,64,Male,124396.83,9,76152.37,26666.19,16-12-2023,02:43,Morning,Delhi,Wallet,POS,Food,Success,4,52,195,3,2,Yes,No,No,11,Medium
TXN000025,CUST2212,44,Male,81354.86,58,38792.21,24687.13,18-11-2024,23:26,Night,Mumbai,UPI,Web,Healthcare,Success,13,60,38,1,0,No,No,No,74,Medium
TXN000026,CUST4004,40,Other,367983.27,15,88962.37,20568.51,04-08-2024,10:55,Morning,Bangalore,Net Banking,Mobile,Fuel,Success,16,11,199,6,0,No,Yes,Yes,21,Medium
